rank,keyword,demand_score,sources,monthly_searches,gsc_impressions,existing_similarity,existing_title,existing_url,reason
1,optimal power flow,100,"Google Search، YouTube",0,0,0.96,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
2,optimal power flow in power system,86.8,"Google Search، YouTube",0,0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 8؛ پیشنهاد YouTube؛ بهترین جایگاه 2؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
3,optimal power flow digsilent,77.8,"Google Search، YouTube",0,0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 10؛ پیشنهاد YouTube؛ بهترین جایگاه 5؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
4,پخش بار بهینه چیست,61.3,Google Search,0,0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ تکرار مشاهده؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
5,optimal power flow github,60.1,Google Search,0,0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
6,آموزش بهینه سازی در پایتون,59.9,Google Search,0,0,0.88,آموزش جامع بهینه‌سازی و مسیریابی (VRP) در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ نزدیک به صفحه «آموزش جامع بهینه‌سازی و مسیریابی (VRP) در Python»
7,پخش بار اقتصادی چیست,59.5,Google Search,0,0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 3؛ تکرار مشاهده؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
8,بهینه سازی سیستم های قدرت,58.1,Google Search,0,0,0.96,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ تکرار مشاهده؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
9,optimal power flow problem,56.3,Google Search,0,0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ تکرار مشاهده؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
10,بهینه سازی سیستم های قدرت الکتریکی,56.3,Google Search,0,0,0.78,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,پیشنهاد Google Search؛ بهترین جایگاه 2؛ تکرار مشاهده؛ نزدیک به صفحه «بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo»
11,gurobi optimal power flow,45.7,Google Search,0,0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد Google Search؛ بهترین جایگاه 9؛ جدید امروز؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
12,optimal power flow powerworld,39.3,YouTube,0,0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد YouTube؛ بهترین جایگاه 7؛ تکرار مشاهده؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
13,etap optimal power flow,35.7,YouTube,0,0,0.78,دوره مقدماتی بهینه‌سازی سیستم‌های قدرت,https://optimizationexpert.github.io/posts/2026/06/22/intro-power-system-course/,پیشنهاد YouTube؛ بهترین جایگاه 9؛ تکرار مشاهده؛ نزدیک به صفحه «دوره مقدماتی بهینه‌سازی سیستم‌های قدرت»
