rank,keyword,suggested_title,cluster,intent,action,demand_score,trend,sources,appearances,best_rank,monthly_searches,monthly_searches_raw,competition,planner_change,gsc_impressions,gsc_clicks,gsc_ctr,gsc_position,existing_similarity,existing_title,existing_url,mentioned_in_body,course_url,reason,discovery_queries
1,how to get admission in igdtuw,how to get admission in igdtuw؛ توضیح ساده، مدل ریاضی و مثال,مدل‌سازی عدم قطعیت,سؤال آموزشی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.372,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/23/uncertainty-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 7؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: how to igdt | YouTube Autocomplete: how to igdt
2,vehicle routing problem example,آموزش vehicle routing problem example: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,100.0,رو‌به‌رشد,Google Search، YouTube,3,1,0.0,,,,0.0,0.0,0.0,0.0,0.131,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 3 query اکتشافی ظاهر شده است؛ رو‌به‌رشد؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: vehicle routing problem example | YouTube Autocomplete: vehicle routing problem | YouTube Autocomplete: vehicle routing problem example
3,vehicle routing problem in excel,آموزش vehicle routing problem in excel: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.146,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 2؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: vehicle routing problem i | YouTube Autocomplete: vehicle routing problem i
4,vehicle routing problem in supply chain management,آموزش vehicle routing problem in supply chain management: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,100.0,تکرار مشاهده,Google Search، YouTube,3,1,0.0,,,,0.0,0.0,0.0,0.0,0.131,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 3 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: vehicle routing problem i | YouTube Autocomplete: vehicle routing problem | YouTube Autocomplete: vehicle routing problem i
5,آموزش تحقیق در عملیات ۲,آموزش تحقیق در عملیات ۲,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,100.0,تکرار مشاهده,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.298,آموزش VRP در Python | ۲۰ پروژه عملی مسیریابی و بهینه‌سازی,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: آموزش تحقیق در عملیات | YouTube Autocomplete: آموزش تحقیق در عملیات
6,vrp problem python,آموزش vrp problem python: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,100.0,جدید امروز,Google Search، YouTube,2,2,0.0,,,,0.0,0.0,0.0,0.0,0.419,آموزش جامع بهینه‌سازی و مسیریابی (VRP) در Python,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 4؛ پیشنهاد YouTube؛ بهترین جایگاه 2؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: vrp python | YouTube Autocomplete: vrp python
7,تحقیق در عملیات ۱,آموزش تحقیق در عملیات ۱: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,99.0,تکرار مشاهده,Google Search، YouTube,2,2,0.0,,,,0.0,0.0,0.0,0.0,0.122,توزیع سوخت و گاز مایع با تحویل تقسیمی و پنجره زمانی در پایتون,local://_posts/2026-07-18- Fuel-VRP.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 2؛ پیشنهاد YouTube؛ بهترین جایگاه 4؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: تحقیق در عملیات | YouTube Autocomplete: تحقیق در عملیات
8,gurobi,آموزش gurobi: مدل‌سازی و پیاده‌سازی در Python/Pyomo,مدل‌سازی و بهینه‌سازی,آموزش و کدنویسی,محتوای جدید,97.2,تکرار مشاهده,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.095,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 3؛ با 2 query اکتشافی ظاهر شده است؛ تکرار مشاهده؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: gurobi | YouTube Autocomplete: gurobi
9,vehicle routing problem in python,آموزش vehicle routing problem in python: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای جدید,95.6,جدید امروز,Google Search، YouTube,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.203,بهینه‌سازی پیشرفته سیستم‌های قدرت در پایتون با Pyomo,local://_posts/2026-06-20-Advanced-Power-System-Course.md,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 6؛ پیشنهاد YouTube؛ بهترین جایگاه 3؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: vehicle routing problem i | YouTube Autocomplete: vehicle routing problem i
10,vrp python,آموزش vrp python: مدل‌سازی و پیاده‌سازی با OR-Tools,مسیریابی و مهندسی حمل‌ونقل,آموزش و کدنویسی,محتوای مکمل با زاویه دقیق‌تر,94.7,جدید امروز,Google Search، YouTube,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.58,دوره‌های تخصصی بهینه‌سازی,local://index.html,False,https://optimizationexpert.github.io/posts/2026/06/24/vrp-python-course/,پیشنهاد Google Search؛ بهترین جایگاه 1؛ پیشنهاد YouTube؛ بهترین جایگاه 1؛ با 2 query اکتشافی ظاهر شده است؛ جدید امروز؛ صفحه متمرکز مشابه در سایت پیدا نشد,Google Search Autocomplete: vrp python | YouTube Autocomplete: vrp python
