rank,keyword,suggested_title,suggested_slug,cluster,intent,funnel,coverage_action,opportunity_score,demand_score,gap_score,business_fit_score,confidence,trend,sources,monthly_searches,monthly_searches_raw,keyword_planner_competition,planner_change,gsc_impressions,gsc_clicks,gsc_ctr,gsc_position,gsc_page,stack_views,stack_questions,serp_competition_score,serp_exact_titles,serp_strong_domains,serp_user_domain_rank,existing_similarity,existing_title,existing_url,mentioned_in_body,course_url,reason,discovery_queries
1,mixed integer linear programming python,آموزش mixed integer linear programming python با Python/Pyomo؛ از مدل تا کد,mixed-integer-linear-programming-python,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,82.4,70.2,89.6,100.0,بالا,جدید امروز,Google Search، YouTube، Bing، DuckDuckGo,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.104,سه راهکار عملی برای استفاده از سالور ها در پایومو,local://src/content/notes/pyomo-solvers.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search، YouTube، Bing، DuckDuckGo؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: mixed integer programming python | Bing: linear programming python | DuckDuckGo: how to mixed integer linear programming python | Google Search: how to mixed integer linear programming python | Google Search: mixed integer programming python | YouTube: how to mixed integer linear programming python | YouTube: mixed integer programming python | YouTube: linear programming python
2,what is mixed integer programming,what is mixed integer programming؛ تعریف ساده، مدل ریاضی و مثال کاربردی,what-is-mixed-integer-programming,مدل‌سازی و تحقیق در عملیات,تعریف و مفهوم,آگاهی,محتوای جدید,74.2,57.0,89.5,91.0,متوسط,جدید امروز,Google Search، YouTube، Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1053,Astro Starter Kit: Basics,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search، YouTube، Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: what is mixed integer programming error | Bing: mixed integer programming python | Google Search: how to what is mixed integer programming | YouTube: how to what is mixed integer programming
3,linear programming python library,آموزش linear programming python library با Python/Pyomo؛ از مدل تا کد,linear-programming-python-library,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,66.9,37.5,90.4,100.0,متوسط,جدید امروز,Google Search، Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0957,سه راهکار عملی برای استفاده از سالور ها در پایومو,local://src/content/notes/pyomo-solvers.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search، Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: linear programming python | Google Search: linear programming python
4,linear programming python pulp,آموزش linear programming python pulp با Python/Pyomo؛ از مدل تا کد,linear-programming-python-pulp,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,66.3,36.4,90.0,100.0,متوسط,جدید امروز,Google Search، YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1,سه راهکار عملی برای استفاده از سالور ها در پایومو,local://src/content/notes/pyomo-solvers.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search، YouTube؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Google Search: linear programming python | YouTube: linear programming python
5,mixed integer quadratic programming python,آموزش mixed integer quadratic programming python با Python/Pyomo؛ از مدل تا کد,mixed-integer-quadratic-programming-python,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,66.2,36.2,90.2,100.0,متوسط,جدید امروز,Google Search، Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0982,Development,local://AGENTS.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search، Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: mixed integer programming python | Google Search: mixed integer programming python
6,mixed integer linear programming python library,آموزش mixed integer linear programming python library با Python/Pyomo؛ از مدل تا کد,mixed-integer-linear-programming-python-library,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,61.2,25.4,90.6,100.0,کم,جدید امروز,Google Search,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.094,سه راهکار عملی برای استفاده از سالور ها در پایومو,local://src/content/notes/pyomo-solvers.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Google Search: how to mixed integer linear programming python | Google Search: mixed integer programming python
7,how does mixed integer programming work,آموزش how does mixed integer programming work با Python/Pyomo؛ از مدل تا کد,how-does-mixed-integer-programming-work,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,59.9,22.1,91.4,100.0,کم,جدید امروز,Google Search,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0857,Astro Starter Kit: Basics,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Google Search: how to what is mixed integer programming
8,mixed integer convex programming,آموزش mixed integer convex programming با Python/Pyomo؛ از مدل تا کد,mixed-integer-convex-programming,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,59.3,20.6,92.0,100.0,کم,جدید امروز,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.08,Development,local://AGENTS.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: how to what is mixed integer programming | Bing: mixed integer programming python | Bing: what is mixed integer programming error
9,how to solve mixed integer linear programming,آموزش how to solve mixed integer linear programming با Python/Pyomo؛ از مدل تا کد,how-to-solve-mixed-integer-linear-programming,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,59.0,21.5,89.5,100.0,کم,جدید امروز,Google Search,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1048,Astro Starter Kit: Basics,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Google Search: how to what is mixed integer programming
10,linear programming python package,آموزش linear programming python package با Python/Pyomo؛ از مدل تا کد,linear-programming-python-package,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,58.6,20.2,90.4,100.0,کم,جدید امروز,Google Search,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0957,سه راهکار عملی برای استفاده از سالور ها در پایومو,local://src/content/notes/pyomo-solvers.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Google Search: linear programming python
