rank,keyword,opportunity_score,demand_score,sources,monthly_searches,gsc_impressions,existing_similarity,existing_title,existing_url,coverage_action,reason
1,mixed integer linear programming python,18.5,70.2,Google Search، YouTube، Bing، DuckDuckGo,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search، YouTube، Bing، DuckDuckGo؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
2,what is mixed integer programming,10.6,57.6,Google Search، YouTube، Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search، YouTube، Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
3,mixed integer programming example,10.6,19.0,Google Search,0.0,0.0,0.89,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
4,mixed integer quadratic programming,8.9,12.8,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
5,mixed integer programming mip,8.5,11.9,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
6,is a mixed number a integer,7.7,12.8,Bing,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-08-01.html,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-08-01»
7,['glpk solver for pyomo'],5.5,11.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
8,برنامه ریزی غیر خطی,0.0,26.5,YouTube,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-02,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-02/,قبلاً صفحه متمرکز دارد,سیگنال در YouTube؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-02»
9,pyomo glpk solver options,0.0,25.4,Google Search,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
10,what is linear and mixed integer programming,0.0,24.0,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
11,pyomo glpk install,0.0,23.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
12,pyomo highs solver,0.0,23.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
13,pyomo ipopt install,0.0,23.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
14,pyomo ipopt example,0.0,22.7,Google Search,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
15,pip install pyomo glpk,0.0,21.5,Google Search,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
16,mixed integer nonlinear programming,0.0,21.3,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
17,mixed integer programming solver,0.0,21.1,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
18,mixed integer convex programming,0.0,20.6,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
19,mixed integer linear program,0.0,20.2,Bing,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
20,برنامه برنامه ریزی روزانه,0.0,20.0,Bing,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
21,برنامه ریزی خطی,0.0,20.0,YouTube,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-08-02,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-02/,قبلاً صفحه متمرکز دارد,سیگنال در YouTube؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-02»
22,how does mixed integer programming work,0.0,17.1,Google Search,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
23,"['pyomo glpk', 'pyomo install glpk', 'glpk solver for pyomo']",0.0,16.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
24,"['برنامه برنامه ریزی روزانه', 'شرکت سیستم های رایانه ای']",0.0,16.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
25,mixed integer practice worksheet,0.0,11.4,Bing,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-08-02,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-02/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-02»
26,what is mixed integer optimization,0.0,10.5,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
