rank,keyword,suggested_title,suggested_slug,cluster,intent,funnel,coverage_action,opportunity_score,demand_score,gap_score,business_fit_score,confidence,trend,sources,monthly_searches,monthly_searches_raw,keyword_planner_competition,planner_change,gsc_impressions,gsc_clicks,gsc_ctr,gsc_position,gsc_page,stack_views,stack_questions,serp_competition_score,serp_exact_titles,serp_strong_domains,serp_user_domain_rank,existing_similarity,existing_title,existing_url,mentioned_in_body,course_url,reason,discovery_queries
1,what is mixed integer linear programming,what is mixed integer linear programming؛ تعریف ساده، مدل ریاضی و مثال کاربردی,what-is-mixed-integer-linear-programming,مدل‌سازی و تحقیق در عملیات,تعریف و مفهوم,آگاهی,محتوای جدید,63.4,37.6,84.9,91.0,متوسط,جدید امروز,Google Search، YouTube,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0807,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search، YouTube؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,Google Search: what is mixed integer programming | YouTube: what is mixed integer programming
2,how does mixed integer programming work,آموزش how does mixed integer programming work با Python/Pyomo؛ از مدل تا کد,how-does-mixed-integer-programming-work,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,59.7,22.1,90.9,100.0,کم,جدید امروز,Google Search,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0906,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Google Search: how to what is mixed integer programming
3,is mixed integer programming np hard,آموزش is mixed integer programming np hard با Python/Pyomo؛ از مدل تا کد,is-mixed-integer-programming-np-hard,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,58.8,19.6,92.0,100.0,کم,جدید امروز,Google Search,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.08,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Google Search: what is mixed integer programming
4,multiplying an integer by a mixed number,آموزش multiplying an integer by a mixed number با Python/Pyomo؛ از مدل تا کد,multiplying-an-integer-by-a-mixed-number,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,58.6,19.1,91.9,100.0,کم,جدید امروز,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0807,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: how to what is mixed integer programming | Bing: what is mixed integer programming
5,is mixed integer programming ai,آموزش is mixed integer programming ai با Python/Pyomo؛ از مدل تا کد,is-mixed-integer-programming-ai,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,58.2,18.3,91.8,100.0,کم,جدید امروز,Google Search,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0822,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Google Search: what is mixed integer programming
6,multiply mixed number by integer worksheet,آموزش multiply mixed number by integer worksheet با Python/Pyomo؛ از مدل تا کد,multiply-mixed-number-by-integer-worksheet,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,57.8,17.8,91.4,100.0,کم,جدید امروز,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0857,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: how to what is mixed integer programming | Bing: what is mixed integer programming
7,multiply mixed number by an integer,آموزش multiply mixed number by an integer با Python/Pyomo؛ از مدل تا کد,multiply-mixed-number-by-an-integer,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,57.4,18.6,89.1,100.0,کم,جدید امروز,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1091,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: how to what is mixed integer programming
8,how to solve mixed integer linear programming,آموزش how to solve mixed integer linear programming با Python/Pyomo؛ از مدل تا کد,how-to-solve-mixed-integer-linear-programming,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,57.0,21.5,83.3,100.0,کم,جدید امروز,Google Search,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.0971,گزارش تقاضای جست‌وجو - 2026-07-30,local://seo_demand_output/demand_report_latest.html,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,Google Search: how to what is mixed integer programming
9,what is mixed integer programming model,what is mixed integer programming model؛ تعریف ساده، مدل ریاضی و مثال کاربردی,what-is-mixed-integer-programming-model,مدل‌سازی و تحقیق در عملیات,تعریف و مفهوم,آگاهی,محتوای جدید,56.3,22.7,85.0,91.0,کم,جدید امروز,Google Search,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.08,Solver خوب بدون رنگ برای Pyomo؟ سه راهکار عملی,local://_posts/2026-06-19-pyomosolvers.md,True,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Google Search؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ فقط در متن سایت اشاره شده و صفحه متمرکز ندارد,Google Search: how to what is mixed integer programming | Google Search: what is mixed integer programming
10,multiplying a mixed fraction by an integer,آموزش multiplying a mixed fraction by an integer با Python/Pyomo؛ از مدل تا کد,multiplying-a-mixed-fraction-by-an-integer,مدل‌سازی و تحقیق در عملیات,کدنویسی,بررسی راه‌حل,محتوای جدید,55.6,15.5,87.9,100.0,کم,جدید امروز,Bing,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0,,0,0,0,0.1214,Optimization Expert Persian Course Website,local://README.md,False,https://optimizationexpert.github.io/posts/2026/06/21/optimization-modeling-course/,سیگنال در Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ صفحه متمرکز مشابه پیدا نشد,Bing: how to what is mixed integer programming
