rank,keyword,opportunity_score,demand_score,sources,monthly_searches,gsc_impressions,existing_similarity,existing_title,existing_url,coverage_action,reason
1,"['glpk solver for pyomo', 'solver glpk_mi']",8.4,11.7,DuckDuckGo,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
2,pyomo glpk solver options,0.0,21.0,Google Search,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
3,pyomo glpk install,0.0,18.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
4,pyomo highs solver,0.0,18.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
5,pyomo ipopt install,0.0,18.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
6,pyomo glpk solver,0.0,17.7,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
7,pyomo ipopt example,0.0,17.7,Google Search,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
8,pip install pyomo glpk,0.0,16.5,Google Search,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
9,برنامه برنامه ریزی روزانه,0.0,15.0,Bing,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
10,"['pyomo glpk', 'pyomo install glpk', 'glpk solver for pyomo']",0.0,11.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
11,"['برنامه برنامه ریزی روزانه', 'شرکت سیستم های رایانه ای']",0.0,11.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
