rank,keyword,opportunity_score,demand_score,sources,monthly_searches,gsc_impressions,existing_similarity,existing_title,existing_url,coverage_action,reason
1,mixed integer programming mip,13.2,16.9,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
2,mixed integer programming example,13.0,24.0,Google Search,0.0,0.0,0.89,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
3,mixed integer linear programming python,11.4,55.4,Google Search، YouTube، Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search، YouTube، Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
4,mixed integer quadratic programming,11.3,17.8,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
5,what is mixed integer programming,10.6,57.6,Google Search، YouTube، Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search، YouTube، Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
6,is a mixed number a integer,10.1,17.8,Bing,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-08-01.html,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ جدید امروز؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-08-01»
7,what is linear and mixed integer programming,0.0,24.0,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
8,pyomo glpk install,0.0,23.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
9,pyomo highs solver,0.0,23.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
10,pyomo ipopt install,0.0,23.4,Google Search,0.0,0.0,0.89,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
11,pyomo glpk solver,0.0,22.7,Google Search,0.0,0.0,0.89,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
12,pyomo ipopt example,0.0,22.7,Google Search,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
13,pyomo glpk solver options,0.0,22.1,Google Search,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
14,pip install pyomo glpk,0.0,21.5,Google Search,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
15,mixed integer nonlinear programming,0.0,21.3,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
16,mixed integer programming solver,0.0,21.1,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
17,mixed integer convex programming,0.0,20.6,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
18,mixed integer linear program,0.0,20.2,Bing,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
19,برنامه برنامه ریزی روزانه,0.0,20.0,Bing,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
20,how does mixed integer programming work,0.0,17.1,Google Search,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Google Search؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
21,"['pyomo glpk', 'pyomo install glpk', 'glpk solver for pyomo']",0.0,16.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
22,"['برنامه برنامه ریزی روزانه', 'شرکت سیستم های رایانه ای']",0.0,16.7,DuckDuckGo,0.0,0.0,0.94,گزارش فرصت‌های محتوایی SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-07-30/,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تقاضای پایدار؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-07-30»
23,"['glpk solver for pyomo', 'install glpk solver python', 'solver glpk_mi']",0.0,11.7,DuckDuckGo,0.0,0.0,0.78,گزارش فرصت‌های SEO — 2026-07-30,https://optimizationexpert.github.io/seo_opportunity_output/seo_opportunity_report_2026-07-30.html,قبلاً صفحه متمرکز دارد,سیگنال در DuckDuckGo؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های SEO — 2026-07-30»
24,what is mixed integer optimization,0.0,10.5,Bing,0.0,0.0,0.78,گزارش فرصت‌های محتوایی SEO — 2026-08-01,https://optimizationexpert.github.io/seo_opportunity_output/content_briefs_2026-08-01/,قبلاً صفحه متمرکز دارد,سیگنال در Bing؛ تکرار مشاهده؛ رقابت SERP اندازه‌گیری نشده؛ نزدیک به صفحه «گزارش فرصت‌های محتوایی SEO — 2026-08-01»
